,name,metacritic,Predicted Metacritic Score,absolute_error,relative_error
625,Vampire: The Masquerade - Redemption,74.0,70.0,4.0,4.0
626,Bulletstorm,83.0,82.0,1.0,1.0
627,Kairo,76.0,73.0,3.0,3.0
628,Cold Fear,66.0,66.0,0.0,0.0
629,King's Bounty: Warriors of the North,74.0,74.0,0.0,0.0
630,Lords of the Realm II,77.0,78.0,1.0,-1.0
631,Metal Gear Solid 3: Snake Eater,84.0,80.0,4.0,4.0
632,Kirby: Canvas Curse,86.0,90.0,4.0,-4.0
633,Crazy Machines 3,71.0,74.0,3.0,-3.0
634,Shantae: Half-Genie Hero,76.0,68.0,8.0,8.0
635,Resident Evil Code: Veronica,72.0,91.0,19.0,-19.0
636,LEGO The Hobbit,70.0,74.0,4.0,-4.0
637,Monster Prom,73.0,73.0,0.0,0.0
638,ARMS,77.0,88.0,11.0,-11.0
639,Act of War: Direct Action,82.0,70.0,12.0,12.0
640,Letter Quest: Grimm's Journey,73.0,69.0,4.0,4.0
641,Made Man,45.0,78.0,33.0,-33.0
642,Budget Cuts,76.0,69.0,7.0,7.0
643,Verdun,70.0,74.0,4.0,-4.0
644,Perception,56.0,76.0,20.0,-20.0
645,Evoland 2,74.0,73.0,1.0,1.0
646,Mantis Burn Racing,71.0,66.0,5.0,5.0
647,Gravity Rush 2,80.0,75.0,5.0,5.0
648,Forza Horizon 4 LEGO Speed Champions,77.0,79.0,2.0,-2.0
649,Astebreed,86.0,75.0,11.0,11.0
650,Valdis Story: Abyssal City,83.0,81.0,2.0,2.0
651,Left 4 Dead 2,89.0,58.0,31.0,31.0
652,Ice Age 3 Dawn of the Dinosaurs,59.0,74.0,15.0,-15.0
653,SOMA,84.0,76.0,8.0,8.0
654,Danger Zone,64.0,72.0,8.0,-8.0
655,Lovely Planet,61.0,75.0,14.0,-14.0
