name,metacritic,Predicted Metacritic Score,absolute_error,relative_error
The Elder Scrolls V: Skyrim - Hearthfire,62.0,79.53456802440215,17.534568024402148,-17.534568024402148
Slay the Spire,87.0,83.26843054771149,3.731569452288511,3.731569452288511
Dex,62.0,71.83650624085087,9.836506240850866,-9.836506240850866
Styx: Shards of Darkness,72.0,73.95608237352414,1.95608237352414,-1.95608237352414
Bastion,86.0,80.05787666753781,5.942123332462188,5.942123332462188
Super Mario Maker,80.0,85.28050433316191,5.280504333161915,-5.280504333161915
Killzone 2,91.0,82.33455603346962,8.665443966530376,8.665443966530376
The Bug Butcher,81.0,82.28480692461687,1.2848069246168734,-1.2848069246168734
Eurofighter Typhoon,69.0,66.9094151809261,2.0905848190738965,2.0905848190738965
Yakuza 4,78.0,81.51154009688861,3.5115400968886092,-3.5115400968886092
Sonic Adventure 2 Battle,73.0,74.54791189875644,1.547911898756439,-1.547911898756439
Burly Men at Sea,82.0,79.04575435689503,2.9542456431049686,2.9542456431049686
Rabbids Go Home,78.0,75.74433484257771,2.2556651574222855,2.2556651574222855
Through the Woods,63.0,68.68370785898702,5.68370785898702,-5.68370785898702
Fallout 76,51.0,77.39535016634578,26.39535016634578,-26.39535016634578
Prey - Mooncrash,80.0,72.66551281685284,7.334487183147161,7.334487183147161
Lords of the Fallen,73.0,77.61528268828988,4.615282688289881,-4.615282688289881
Star Trek: Bridge Crew,75.0,72.46252585747973,2.537474142520267,2.537474142520267
OlliOlli,78.0,80.07014263532969,2.070142635329688,-2.070142635329688
Natural Selection 2,80.0,79.93961512153496,0.06038487846504381,0.06038487846504381
Xenonauts,77.0,75.8146711327563,1.1853288672436975,1.1853288672436975
The Void,77.0,71.90187018160674,5.098129818393261,5.098129818393261
SkyDrift,73.0,69.37517364667941,3.624826353320586,3.624826353320586
Space Hulk,58.0,73.91584798003034,15.915847980030335,-15.915847980030335
Tokyo Xanadu eX+,75.0,67.588902087832,7.411097912168003,7.411097912168003
LEGO Indiana Jones: The Original Adventures,78.0,71.64554098807713,6.35445901192287,6.35445901192287
The Legend of Zelda: Breath of the Wild,97.0,83.29164200122935,13.708357998770651,13.708357998770651
Fire Emblem Warriors,72.0,80.99803192467408,8.99803192467408,-8.99803192467408
GRID (2019),75.0,76.23209127800507,1.232091278005072,-1.232091278005072
Baba Is You,86.0,80.56857192654206,5.431428073457937,5.431428073457937
Call of Juarez,72.0,83.64013747036415,11.640137470364152,-11.640137470364152
Need for Speed Rivals,77.0,79.68523117775483,2.6852311777548294,-2.6852311777548294
Multiwinia,76.0,72.57059317511553,3.4294068248844667,3.4294068248844667
>observer_,77.0,74.89486559246171,2.105134407538287,2.105134407538287
Insurgency,74.0,77.88359240446523,3.883592404465233,-3.883592404465233
Heavenly Sword,79.0,80.09740095477018,1.0974009547701797,-1.0974009547701797
Grand Ages: Medieval,63.0,75.5125205634614,12.512520563461393,-12.512520563461393
Watchmen: The End is Nigh,61.0,66.95715635704212,5.957156357042123,-5.957156357042123
Valkyria Chronicles 4,83.0,77.22807736748366,5.771922632516336,5.771922632516336
Starbound,81.0,74.99660713972342,6.003392860276577,6.003392860276577
Sherlock Holmes: The Mystery of the Mummy,61.0,72.63577533929671,11.635775339296714,-11.635775339296714
Greedfall,74.0,68.30717715840296,5.692822841597035,5.692822841597035
Order of Battle: World War II,81.0,79.81526282119755,1.1847371788024503,1.1847371788024503
Iron Brigade,75.0,78.29377992255739,3.293779922557391,-3.293779922557391
Muse Dash,73.0,77.86936726811672,4.869367268116719,-4.869367268116719
Freedom Force vs. the Third Reich,86.0,75.66101907210637,10.33898092789363,10.33898092789363
Killing Floor,72.0,75.27103184994834,3.2710318499483435,-3.2710318499483435
Need for Speed: Shift,83.0,71.8960427036878,11.103957296312203,11.103957296312203
Hidden Agenda,66.0,84.59230130586846,18.59230130586846,-18.59230130586846
