name,metacritic,Predicted Metacritic Score,absolute_error,relative_error
Heroes of Might and Magic V,77.0,74.94850589679497,2.0514941032050302,2.0514941032050302
Legends of Runeterra,87.0,77.44483956622153,9.555160433778468,9.555160433778468
Warface: Ice Breaker,62.0,76.58119631791494,14.581196317914944,-14.581196317914944
Prototype 2,76.0,72.79247354692087,3.207526453079126,3.207526453079126
Crimsonland,68.0,71.89056526806523,3.890565268065231,-3.890565268065231
The Elder Scrolls V: Skyrim - Hearthfire,62.0,81.90870524547694,19.908705245476938,-19.908705245476938
Slay the Spire,87.0,76.85338365800868,10.146616341991319,10.146616341991319
Dex,62.0,67.29152985615171,5.291529856151712,-5.291529856151712
Styx: Shards of Darkness,72.0,67.62011721366868,4.379882786331322,4.379882786331322
Bastion,86.0,79.52792809967808,6.472071900321922,6.472071900321922
Super Mario Maker,80.0,86.08683717809613,6.086837178096133,-6.086837178096133
Killzone 2,91.0,80.70572365183737,10.294276348162626,10.294276348162626
The Bug Butcher,81.0,81.08171560362581,0.08171560362580976,-0.08171560362580976
Eurofighter Typhoon,69.0,63.199660165943435,5.800339834056565,5.800339834056565
Yakuza 4,78.0,81.5150184234737,3.5150184234737054,-3.5150184234737054
Sonic Adventure 2 Battle,73.0,74.77355666591527,1.7735566659152653,-1.7735566659152653
Burly Men at Sea,82.0,78.51285251105105,3.487147488948949,3.487147488948949
Rabbids Go Home,78.0,75.36776810526075,2.632231894739249,2.632231894739249
Through the Woods,63.0,68.4312015207015,5.4312015207015065,-5.4312015207015065
Fallout 76,51.0,71.85582770733737,20.85582770733737,-20.85582770733737
Prey - Mooncrash,80.0,68.86626583585834,11.133734164141657,11.133734164141657
Lords of the Fallen,73.0,76.23643785789372,3.236437857893719,-3.236437857893719
Star Trek: Bridge Crew,75.0,72.79882436028024,2.2011756397197644,2.2011756397197644
OlliOlli,78.0,78.1479006826507,0.14790068265070033,-0.14790068265070033
Natural Selection 2,80.0,74.82892365967365,5.171076340326351,5.171076340326351
Xenonauts,77.0,74.0478671051171,2.9521328948828938,2.9521328948828938
The Void,77.0,66.84160253416178,10.15839746583822,10.15839746583822
SkyDrift,73.0,66.0552928125796,6.944707187420406,6.944707187420406
Space Hulk,58.0,76.8595654549699,18.859565454969896,-18.859565454969896
