name,metacritic,Predicted Metacritic Score,absolute_error,relative_error
nail'd,69.0,72.65373374508046,3.6537337450804586,-3.6537337450804586
Penumbra: Requiem,67.0,71.88258650786526,4.8825865078652555,-4.8825865078652555
Dark Souls II: Scholar of the First Sin,79.0,79.52809850628395,0.5280985062839534,-0.5280985062839534
Fallen Enchantress: Legendary Heroes,80.0,76.95834692847762,3.0416530715223757,3.0416530715223757
Ticket to Ride,91.0,76.165962825965,14.834037174035004,14.834037174035004
Reign: Conflict of Nations,60.0,71.9970007688698,11.997000768869796,-11.997000768869796
Beat Cop,71.0,73.03810564775301,2.0381056477530137,-2.0381056477530137
Dante's Inferno,75.0,75.44716308346281,0.44716308346281153,-0.44716308346281153
Alone With You,75.0,72.08536168670443,2.914638313295569,2.914638313295569
Tom Clancy's Ghost Recon: Advanced Warfighter,85.0,77.1912793609041,7.808720639095895,7.808720639095895
The Red Solstice,74.0,69.10799924191534,4.892000758084663,4.892000758084663
Spyro Reignited Trilogy,80.0,74.59943718484783,5.4005628151521705,5.4005628151521705
"Pokémon Diamond, Pearl",85.0,80.78133825732911,4.218661742670889,4.218661742670889
Outward,65.0,74.04076323162217,9.040763231622165,-9.040763231622165
Candle: The Power of the Flame,80.0,70.81297687285111,9.18702312714889,9.18702312714889
A Way Out,78.0,76.54477967450815,1.455220325491851,1.455220325491851
Final Fantasy X-2,85.0,79.55867828080204,5.441321719197958,5.441321719197958
Final Fantasy VII Remake,87.0,83.5365631411489,3.4634368588510966,3.4634368588510966
Sayonara Wild Hearts,85.0,79.29649546476347,5.703504535236533,5.703504535236533
Ace Combat 5: The Unsung War,84.0,77.02026961974782,6.979730380252178,6.979730380252178
MacGuffin's Curse,73.0,69.14679093285928,3.8532090671407246,3.8532090671407246
Destiny 2: Warmind,64.0,83.75507308114743,19.75507308114743,-19.75507308114743
EA SPORTS FIFA 17,85.0,76.64882704122013,8.35117295877987,8.35117295877987
Ship Simulator Extremes,49.0,72.9322905857285,23.932290585728495,-23.932290585728495
Only If,39.0,70.26937682019395,31.269376820193955,-31.269376820193955
The Sims,88.0,75.95644680988572,12.043553190114281,12.043553190114281
Resonance,76.0,74.14835878039142,1.851641219608581,1.851641219608581
Dangerous High School Girls in Trouble!,81.0,73.47134496506644,7.528655034933564,7.528655034933564
Seven: The Days Long Gone,68.0,67.15196244950286,0.8480375504971391,0.8480375504971391
"Pokémon Alpha Sapphire, Omega Ruby",83.0,81.87335618669962,1.126643813300376,1.126643813300376
Iron Warriors: T - 72 Tank Command,56.0,75.17412881723583,19.174128817235825,-19.174128817235825
Metal Gear Solid,88.0,70.88721693199412,17.112783068005882,17.112783068005882
HOARD,65.0,69.09308128785837,4.093081287858368,-4.093081287858368
Apotheon,78.0,76.98622830873876,1.0137716912612404,1.0137716912612404
S.T.A.L.K.E.R.: Call of Pripyat,80.0,79.31512187517203,0.6848781248279749,0.6848781248279749
LEGO Batman 2 DC Super Heroes,75.0,74.58723514848487,0.412764851515135,0.412764851515135
GNOG,76.0,75.04135295594529,0.9586470440547146,0.9586470440547146
BioShock Infinite: Burial at Sea - Episode One,71.0,73.54800390066855,2.5480039006685473,-2.5480039006685473
Burnout 3: Takedown,94.0,79.59593241749224,14.404067582507764,14.404067582507764
Killzone,70.0,77.40992113584032,7.409921135840321,-7.409921135840321
Skyshine's BEDLAM,67.0,68.18528999250739,1.1852899925073928,-1.1852899925073928
WORLD OF WARSHIPS: LEGENDS,82.0,79.07538788265147,2.9246121173485307,2.9246121173485307
Call of Juarez: The Cartel,51.0,68.66916422564923,17.669164225649226,-17.669164225649226
Strong Bad's Cool Game for Attractive People,82.0,72.34523051864208,9.654769481357917,9.654769481357917
Divinity: Dragon Commander,76.0,77.81827304888722,1.818273048887221,-1.818273048887221
The Lost Crown: A Ghosthunting Adventure,71.0,71.43350075346594,0.4335007534659354,-0.4335007534659354
Final Fantasy XV: Episode Prompto,65.0,73.30204123366217,8.302041233662166,-8.302041233662166
Starlink: Battle for Atlas,74.0,68.68062611942348,5.319373880576521,5.319373880576521
Rayman Raving Rabbids,58.0,70.99145050013105,12.991450500131052,-12.991450500131052
Fire Emblem: Path of Radiance,85.0,79.9757421716171,5.0242578283829005,5.0242578283829005
XCOM: Chimera Squad,77.0,76.14874432197946,0.8512556780205358,0.8512556780205358
The Witness,87.0,80.81107901607903,6.188920983920966,6.188920983920966
Perimeter: Emperor's Testament,72.0,73.48746611861432,1.4874661186143214,-1.4874661186143214
Damnation,41.0,71.0647289262713,30.0647289262713,-30.0647289262713
Cold War,64.0,69.54870691485057,5.54870691485057,-5.54870691485057
